(8
  ((0 0 0 0 2 2 2 2 2 2 2 2 2 2)
   (0 0 0 0 2 2 2 2 2 2 2 2 2 2)
   (0 0 0 0 2 2 2 2 2 2 2 2 2 2)
   (0 0 0 0 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)))

(20
  ((0 0 0 0 0 0 0 2 2 2 2 2 2 2)
   (0 0 0 0 0 0 0 2 2 2 2 2 2 2)
   (0 0 0 0 0 0 0 2 2 2 2 2 2 2)
   (0 0 0 0 0 0 0 2 2 2 2 2 2 2)
   (0 0 0 0 0 0 0 2 2 2 2 2 2 2)
   (0 0 0 0 0 0 0 2 2 2 2 2 2 2)
   (0 0 0 0 0 0 0 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)))

(28
  ((0 0 2 0 0 0 0 0 0 2 2 2 2 2)
   (0 0 0 2 0 0 0 0 0 2 2 2 2 2)
   (0 0 0 0 2 0 0 0 0 2 2 2 2 2)
   (0 0 0 0 0 2 0 0 0 2 2 2 2 2)
   (0 0 0 0 0 0 2 0 0 2 2 2 2 2)
   (0 0 0 0 0 0 0 2 0 2 2 2 2 2)
   (0 0 0 0 0 0 0 0 2 2 2 2 2 2)
   (0 0 0 0 0 0 0 0 0 2 2 2 2 2)
   (0 0 0 0 0 0 0 0 0 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)))

(36
  ((0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)))

(44
  ((0 2 2 2 2 2 2 2 2 2 2 2 2 2)
   (2 0 2 0 0 0 0 0 0 2 0 0 0 2)
   (2 0 0 2 0 0 0 0 0 0 2 0 0 2)
   (2 0 0 0 2 0 0 0 0 0 0 2 0 2)
   (2 0 0 0 0 2 0 0 0 0 0 0 2 2)
   (2 0 0 0 0 0 2 0 0 0 0 0 0 2)
   (2 0 0 0 0 0 0 2 0 0 0 0 0 2)
   (2 0 0 0 0 0 0 0 2 0 0 0 0 2)
   (2 0 0 0 0 0 0 0 0 2 0 0 0 2)
   (2 0 2 0 0 0 0 0 0 0 2 0 0 2)
   (2 2 0 0 0 0 0 0 0 0 0 2 0 2)
   (2 0 0 0 2 0 0 0 0 0 0 0 2 2)
   (2 0 0 0 0 2 0 0 0 0 0 0 0 2)
   (2 2 2 2 2 2 2 2 2 2 2 2 2 2)))

(72
  ((0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)
   (0 0 0 0 0 0 0 0 0 0 0 0 0 0)))
